step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
0,0.000000,4.802131,-0.003273,3.115664,0.448651,3.595797,0.334224,-0.060017,0.514303,2.861212,0.000000,2.861212,1.252656,0.000000
1,0.100000,5.016901,0.238879,5.286275,-2.120349,4.308407,-0.675864,0.096581,0.282980,1.694360,0.000000,1.694359,1.204843,0.000000
2,0.200000,4.972509,0.541439,6.228485,-1.195050,4.914903,-0.818606,0.379507,0.201900,1.249648,0.000000,1.249647,1.256983,0.000000
3,0.300000,4.922001,0.748556,4.059250,-0.663274,4.719212,-0.763082,0.202648,0.228647,1.045833,-0.000000,1.045833,1.324032,0.000000
4,0.400000,4.859710,1.030914,4.799324,-1.650043,4.753726,-0.956843,0.216898,0.012021,0.952381,-0.000000,0.952381,1.457342,0.000000
5,0.500000,4.875865,1.271444,8.587997,3.182534,5.647164,-0.009446,1.232186,1.114015,0.914601,-0.000000,0.914601,1.463649,0.000000
6,0.600000,4.814478,1.451078,4.232265,7.523169,5.423032,1.777884,0.798450,3.206727,0.903318,0.000000,0.903318,1.353236,0.000000
7,0.700000,4.638591,1.799518,4.274656,3.477170,5.226033,2.409301,0.446756,3.601484,0.901616,0.000000,0.901616,1.289920,0.000000
8,0.800000,4.742507,1.951784,2.220986,3.227232,4.584411,2.872467,-0.412198,3.730419,0.900143,0.000000,0.900142,1.250391,0.000000
9,0.900000,4.508621,2.147710,4.569725,1.129478,4.549126,2.772293,-0.405020,3.157889,0.894534,-0.000000,0.894533,1.187942,0.000000
10,1.000000,4.380404,2.351386,7.879892,0.128094,5.253250,2.434297,0.456508,2.401465,0.883497,0.000000,0.883497,1.159654,0.000000
11,1.100000,4.329850,2.644372,5.780809,3.486363,5.403403,2.850506,0.571464,2.595144,0.867386,0.000000,0.867386,1.154113,0.000000
12,1.200000,4.096649,2.906536,4.498951,2.348909,5.256873,2.948808,0.359001,2.426979,0.847249,0.000000,0.847249,1.154642,0.000000
13,1.300000,3.972526,3.135782,7.128109,3.219148,5.670983,3.197202,0.732802,2.432609,0.824289,0.000000,0.824288,1.193565,0.000000
14,1.400000,3.804845,3.132922,4.400637,4.069614,5.475674,3.566229,0.481212,2.550416,0.799595,0.000000,0.799595,1.229068,0.000000
15,1.500000,3.660207,3.373056,2.745138,6.413228,4.986086,4.322849,0.003385,2.996137,0.774053,-0.000000,0.774053,1.254187,0.000000
16,1.600000,3.482333,3.621398,7.126634,7.994244,5.386820,5.253265,0.341387,3.528642,0.748330,-0.000000,0.748330,1.327940,0.000000
17,1.700000,3.326779,3.844735,3.625484,5.254348,5.096470,5.542552,0.080768,3.477580,0.722904,-0.000000,0.722903,1.390412,0.000000
18,1.800000,3.073392,3.833380,0.514907,6.218402,4.303542,5.947569,-0.532330,3.521407,0.698100,-0.000000,0.698100,1.445971,0.000000
19,1.900000,2.953842,4.061798,4.663354,5.129803,4.319919,6.102544,-0.481469,3.377352,0.674129,-0.000000,0.674129,1.496461,0.000000
20,2.000000,2.698017,4.246144,5.351910,1.875678,4.447597,5.697258,-0.358645,2.858301,0.651116,-0.000000,0.651116,1.533441,0.000000
21,2.100000,2.430319,4.317314,1.827694,0.887631,4.005311,5.181669,-0.630530,2.322172,0.629125,-0.000000,0.629126,1.545402,0.000000
22,2.200000,2.263409,4.478567,0.882491,4.358381,3.477037,5.253402,-0.929021,2.219205,0.608179,-0.000000,0.608180,1.540814,0.000000
23,2.300000,2.006356,4.533571,-0.376912,3.160242,2.831005,5.134849,-1.269892,2.009385,0.588271,-0.000000,0.588271,1.519138,0.000000
24,2.400000,1.769243,4.588074,1.127312,2.962021,2.479582,4.997896,-1.402923,1.809105,0.569376,-0.000000,0.569376,1.491176,0.000000
25,2.500000,1.545982,4.627567,0.799424,5.643680,2.126998,5.242895,-1.524111,1.845691,0.551456,-0.000000,0.551456,1.466372,0.000000
26,2.600000,1.400022,4.785616,3.961523,3.956688,2.240074,5.230943,-1.377968,1.737513,0.534467,0.000000,0.534466,1.447277,0.000000
27,2.700000,1.153457,4.786853,3.650414,6.990235,2.302901,5.610165,-1.271350,1.846707,0.518360,0.000000,0.518360,1.446084,0.000000
28,2.800000,0.783387,4.871421,3.337519,4.934784,2.321882,5.686664,-1.196301,1.791148,0.503088,0.000000,0.503088,1.456259,0.000000
29,2.900000,0.640531,4.823019,0.319604,4.786895,1.972286,5.733995,-1.310581,1.725658,0.488600,-0.000000,0.488600,1.461501,0.000000
30,3.000000,0.323000,4.905019,1.069870,4.821851,1.749659,5.777792,-1.354652,1.663685,0.474849,0.000000,0.474849,1.468306,0.000000
31,3.100000,0.142667,5.059669,2.104582,5.860742,1.670807,5.934528,-1.328239,1.659192,0.461789,0.000000,0.461789,1.477448,0.000000
32,3.200000,-0.172278,4.935239,0.150092,5.559062,1.382062,6.039626,-1.398821,1.631660,0.449376,-0.000000,0.449376,1.490456,0.000000
33,3.300000,-0.452195,4.965177,-2.285834,4.374816,0.856242,6.002825,-1.568473,1.543758,0.437570,-0.000000,0.437569,1.495736,0.000000
34,3.400000,-0.641779,4.913076,-0.458326,4.210896,0.576002,5.949757,-1.621189,1.455135,0.426331,-0.000000,0.426331,1.498694,0.000000
35,3.500000,-0.866940,4.932308,-2.205132,2.043099,0.141752,5.674228,-1.734264,1.280184,0.415623,-0.000000,0.415623,1.491846,0.000000
36,3.600000,-1.097804,4.866972,-1.151358,4.946838,-0.145159,5.715548,-1.780161,1.245121,0.405414,-0.000000,0.405414,1.486006,0.000000
37,3.700000,-1.429057,4.766561,-0.314842,1.675067,-0.322350,5.428068,-1.779835,1.082834,0.395671,-0.000000,0.395671,1.480831,0.000000
38,3.800000,-1.676727,4.671087,-2.229481,5.351545,-0.667355,5.518499,-1.843958,1.075980,0.386367,-0.000000,0.386367,1.476654,0.000000
39,3.900000,-1.896165,4.630981,-0.511783,5.486906,-0.819669,5.612962,-1.831945,1.071063,0.377472,0.000000,0.377472,1.476165,0.000000
