step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
0,0.000000,-0.197869,-0.003273,-1.884336,0.448651,-1.404203,0.334224,-0.060017,0.514303,2.861213,0.000000,2.861212,1.252656,0.000000
1,0.100000,0.337103,0.302316,0.606476,-2.056912,-0.555959,-0.648992,0.126139,0.288836,1.694360,-0.000000,1.694359,1.278736,0.000000
2,0.200000,0.624155,0.663997,1.880131,-1.072493,0.213778,-0.761439,0.485046,0.221839,1.249648,-0.000000,1.249647,1.346935,0.000000
3,0.300000,0.915052,0.921676,0.052301,-0.490153,0.207381,-0.674125,0.443487,0.271141,1.045833,0.000000,1.045833,1.446620,0.000000
4,0.400000,1.202826,1.241952,1.142440,-1.439006,0.463804,-0.835581,0.655561,0.082570,0.952381,0.000000,0.952381,1.598308,0.000000
5,0.500000,1.576387,1.503887,5.288521,3.414977,1.617543,0.142679,1.922923,1.212293,0.914600,0.000000,0.914601,1.558895,0.000000
6,0.600000,1.878418,1.684845,1.296206,7.756936,1.693843,1.956054,1.778085,3.325255,0.903318,0.000000,0.903318,1.383062,0.000000
7,0.700000,2.070623,2.011312,1.706689,3.688964,1.834468,2.604232,1.730848,3.726246,0.901615,0.000000,0.901615,1.289956,0.000000
8,0.800000,2.545970,2.115513,0.024449,3.390961,1.561284,3.070045,1.172307,3.842879,0.900143,-0.000000,0.900143,1.299006,0.000000
9,0.900000,2.685519,2.234950,2.746623,1.216718,1.917379,2.953927,1.461304,3.237452,0.894534,-0.000000,0.894533,1.274318,0.000000
10,1.000000,2.931418,2.331900,6.430905,0.108607,3.028154,2.577708,2.577392,2.427597,0.883497,0.000000,0.883497,1.182485,0.000000
11,1.100000,3.254348,2.486654,4.705307,3.328645,3.593689,2.930663,2.915985,2.548820,0.867386,0.000000,0.867385,1.130514,0.000000
12,1.200000,3.392707,2.578390,3.795008,2.020763,3.866165,2.938831,2.896038,2.291465,0.847249,-0.000000,0.847248,1.089324,0.000000
13,1.300000,3.636951,2.604917,6.792533,2.688283,4.699132,3.069125,3.433066,2.193767,0.824288,-0.000000,0.824288,1.094315,0.000000
14,1.400000,3.833200,2.367552,4.428993,3.304244,4.919811,3.291648,3.318201,2.196714,0.799595,-0.000000,0.799595,1.116455,0.000000
15,1.500000,4.046848,2.342504,3.131779,5.382675,4.841412,3.873452,2.953664,2.518520,0.774053,0.000000,0.774053,1.154480,0.000000
16,1.600000,4.220438,2.296685,7.864739,6.669531,5.647133,4.601285,3.384490,2.920328,0.748329,-0.000000,0.748330,1.246009,0.000000
17,1.700000,4.408397,2.199153,4.707102,3.608766,5.754527,4.661165,3.198915,2.733871,0.722903,0.000000,0.722904,1.332675,0.000000
18,1.800000,4.489478,1.843029,1.930993,4.228050,5.351287,4.811251,2.645425,2.639495,0.698100,-0.000000,0.698100,1.425207,0.000000
19,1.900000,4.694309,1.706088,6.403821,2.774093,5.748631,4.687387,2.742453,2.356150,0.674129,0.000000,0.674130,1.512059,0.000000
20,2.000000,4.751788,1.508252,7.405681,-0.862214,6.247966,3.981291,2.899696,1.698301,0.651116,0.000000,0.651117,1.577695,0.000000
21,2.100000,4.785380,1.184582,4.182755,-2.245101,6.167510,3.145115,2.651891,1.025309,0.629125,0.000000,0.629126,1.615015,0.000000
22,2.200000,4.906866,0.942841,3.525947,0.822655,5.990741,2.878938,2.368329,0.788743,0.608179,0.000000,0.608180,1.641268,0.000000
23,2.300000,4.924492,0.591476,2.541224,-0.781853,5.685430,2.407827,2.034228,0.449810,0.588271,0.000000,0.588271,1.654937,0.000000
