step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
0,0.000000,-0.095739,0.143454,-1.782205,0.595378,-1.302073,0.480951,-0.060017,0.514303,2.861213,-0.000000,2.861212,1.252656,0.000000
1,0.100000,0.250562,0.271419,0.519935,-2.087809,-0.533748,-0.577505,0.108723,0.272439,1.694361,0.000000,1.694360,1.204215,0.000000
2,0.200000,0.545539,0.505963,1.801514,-1.230526,0.203291,-0.762784,0.452955,0.171695,1.249648,-0.000000,1.249648,1.240842,0.000000
3,0.300000,0.801830,0.658693,-0.060921,-0.753137,0.167663,-0.747581,0.391698,0.170206,1.045834,-0.000000,1.045833,1.316295,0.000000
4,0.400000,1.020583,0.883827,0.960197,-1.797130,0.386206,-0.984506,0.571071,-0.083739,0.952381,0.000000,0.952381,1.447654,0.000000
5,0.500000,1.383188,1.102675,5.095321,3.013765,1.506995,-0.076760,1.809898,0.983228,0.914601,0.000000,0.914601,1.404031,0.000000
6,0.600000,1.758779,1.199630,1.176567,7.271720,1.572491,1.658862,1.665682,3.027706,0.903318,-0.000000,0.903318,1.274252,0.000000
7,0.700000,1.942233,1.519688,1.578298,3.197340,1.702823,2.240165,1.619648,3.381542,0.901615,-0.000000,0.901615,1.209872,0.000000
8,0.800000,2.516637,1.679073,-0.004884,2.954521,1.444045,2.662979,1.093054,3.487498,0.900142,-0.000000,0.900142,1.237166,0.000000
9,0.900000,2.829407,1.774837,2.890511,0.756605,1.852385,2.507408,1.454848,2.877331,0.894534,-0.000000,0.894533,1.235566,0.000000
10,1.000000,3.114390,1.833354,6.613878,-0.389938,3.017427,2.091640,2.634468,2.063385,0.883497,0.000000,0.883497,1.148322,0.000000
11,1.100000,3.548846,2.045225,4.999805,2.887216,3.653619,2.425753,3.044510,2.203944,0.867386,0.000000,0.867386,1.085519,0.000000
12,1.200000,3.788787,2.361872,4.191089,1.804245,4.007426,2.467823,3.095995,2.017928,0.847249,0.000000,0.847249,1.020707,0.000000
13,1.300000,4.073002,2.731571,7.228584,2.814938,4.917017,2.699563,3.688987,2.047526,0.824289,0.000000,0.824288,1.008129,0.000000
14,1.400000,4.334270,2.705238,4.930062,3.641931,5.214782,3.051763,3.622354,2.185642,0.799595,0.000000,0.799595,1.004004,0.000000
15,1.500000,4.637795,2.784963,3.722727,5.825135,5.218186,3.764716,3.303484,2.624977,0.774054,0.000000,0.774053,1.012426,0.000000
16,1.600000,4.935393,3.004198,8.579695,7.377044,6.115614,4.653908,3.782192,3.154015,0.748331,0.000000,0.748330,1.072190,0.000000
17,1.700000,5.289121,3.330865,5.587825,4.740478,6.330095,4.927955,3.650681,3.120799,0.722904,0.000000,0.722904,1.118535,0.000000
18,1.800000,5.519806,3.314356,2.961321,5.699378,6.043514,5.320202,3.151904,3.182158,0.698100,0.000000,0.698100,1.168774,0.000000
19,1.900000,5.910659,3.453797,7.620171,4.521802,6.571301,5.450232,3.307233,3.044665,0.674129,0.000000,0.674129,1.215481,0.000000
20,2.000000,6.203670,3.681376,8.857562,1.310910,7.220345,5.031343,3.529603,2.539351,0.651116,-0.000000,0.651117,1.238076,0.000000
21,2.100000,6.388597,3.791772,5.785972,0.362089,7.292191,4.510952,3.341545,2.021349,0.629125,-0.000000,0.629126,1.234293,0.000000
22,2.200000,6.679455,3.986832,5.298536,3.866646,7.272415,4.584391,3.114460,1.938775,0.608179,-0.000000,0.608180,1.217230,0.000000
23,2.300000,6.907293,4.076334,4.524024,2.703005,7.133857,4.473065,2.837139,1.750689,0.588271,0.000000,0.588271,1.185548,0.000000
24,2.400000,7.122201,4.082092,6.480271,2.456039,7.284153,4.336103,2.758056,1.565738,0.569376,0.000000,0.569376,1.150176,0.000000
25,2.500000,7.360942,3.997381,6.614384,5.013494,7.429597,4.564478,2.683639,1.606727,0.551456,0.000000,0.551456,1.127909,0.000000
26,2.600000,7.785997,4.083031,10.347499,3.254103,8.051985,4.528596,2.878517,1.498529,0.534466,0.000000,0.534467,1.105354,0.000000
27,2.700000,8.202845,4.049503,10.699801,6.252886,8.645666,4.882481,3.041044,1.606958,0.518360,0.000000,0.518360,1.099569,0.000000
28,2.800000,8.369947,4.087849,10.924079,4.151212,9.198082,4.930994,3.168585,1.549336,0.503088,0.000000,0.503088,1.102405,0.000000
29,2.900000,8.745983,3.956756,8.425056,3.920633,9.381815,4.943586,3.102427,1.478601,0.488600,0.000000,0.488600,1.104789,0.000000
30,3.000000,8.984611,3.941844,9.731481,3.858676,9.696734,4.945101,3.104680,1.408168,0.474849,0.000000,0.474848,1.108838,0.000000
31,3.100000,9.361998,4.213343,11.323913,5.014416,10.159213,5.077664,3.175601,1.404317,0.461789,0.000000,0.461788,1.110932,0.000000
32,3.200000,9.609438,4.238085,9.931808,4.861908,10.415551,5.178080,3.147886,1.386203,0.449376,0.000000,0.449376,1.114792,0.000000
