step,time,true_x,true_y,meas_x,meas_y,est_x,est_y,est_vx,est_vy,cov_xx,cov_xy,cov_yy,rmse,nis
0,0.000000,-0.018722,0.048036,-1.705189,0.499960,-1.225055,0.385533,-0.060017,0.514303,2.861213,-0.000000,2.861213,1.252656,0.000000
1,0.100000,-0.023553,0.089462,0.245820,-2.269766,-0.605466,-0.709580,0.076310,0.264451,1.694360,0.000000,1.694360,1.120567,0.000000
2,0.200000,-0.029892,0.156251,1.226084,-1.580239,-0.028021,-0.963401,0.346426,0.131594,1.249648,-0.000000,1.249648,1.120263,0.000000
3,0.300000,-0.049343,0.223858,-0.912094,-1.187971,-0.233584,-1.012398,0.164597,0.084543,1.045834,0.000000,1.045833,1.152674,0.000000
4,0.400000,-0.093168,0.314007,-0.153553,-2.366951,-0.201989,-1.328469,0.179732,-0.239983,0.952381,-0.000000,0.952381,1.251355,0.000000
5,0.500000,-0.118212,0.424809,3.593922,2.335899,0.679811,-0.509121,1.185795,0.742227,0.914600,0.000000,0.914601,1.247536,0.000000
6,0.600000,-0.120578,0.519698,-0.702790,6.591789,0.459379,1.151934,0.762477,2.723688,0.903317,0.000000,0.903318,1.191880,0.000000
7,0.700000,-0.157908,0.665604,-0.521843,2.343256,0.297269,1.631438,0.459678,2.986824,0.901615,0.000000,0.901616,1.176360,0.000000
8,0.800000,-0.112917,0.814326,-2.634438,2.089774,-0.326845,1.966049,-0.378984,3.031790,0.900142,0.000000,0.900142,1.175811,0.000000
9,0.900000,-0.064095,0.946777,-0.002991,-0.071455,-0.283844,1.745773,-0.281105,2.398476,0.894533,-0.000000,0.894533,1.141096,0.000000
10,1.000000,-0.019778,1.051784,3.479710,-1.171509,0.525526,1.288292,0.687854,1.591671,0.883497,-0.000000,0.883497,1.091395,0.000000
11,1.100000,0.064876,1.175351,1.515835,2.017342,0.794141,1.571037,0.907679,1.727614,0.867385,-0.000000,0.867385,1.069587,0.000000
12,1.200000,0.131512,1.348913,0.533813,0.791286,0.810542,1.542044,0.830105,1.517159,0.847249,-0.000000,0.847249,1.041616,0.000000
13,1.300000,0.193412,1.588384,3.348995,1.671751,1.399551,1.689225,1.330202,1.512676,0.824289,-0.000000,0.824288,1.053668,0.000000
14,1.400000,0.243693,1.774955,0.839485,2.711648,1.394024,2.014635,1.200423,1.675798,0.799595,-0.000000,0.799595,1.061759,0.000000
15,1.500000,0.295032,1.940444,-0.620037,4.980616,1.101088,2.723743,0.833436,2.157020,0.774053,-0.000000,0.774054,1.065647,0.000000
16,1.600000,0.345650,2.126704,3.989950,6.499550,1.709296,3.605479,1.276510,2.719266,0.748330,-0.000000,0.748331,1.121288,0.000000
17,1.700000,0.412386,2.365963,0.711091,3.775576,1.633475,3.859002,1.113088,2.704486,0.722904,-0.000000,0.722904,1.166149,0.000000
18,1.800000,0.458328,2.555270,-2.100157,4.940291,1.073745,4.270963,0.599470,2.812800,0.698100,-0.000000,0.698101,1.200706,0.000000
19,1.900000,0.531525,2.741409,2.241037,3.809413,1.320316,4.427053,0.735822,2.721331,0.674130,-0.000000,0.674130,1.233724,0.000000
20,2.000000,0.602626,2.950821,3.256519,0.580355,1.697094,4.028727,0.947625,2.252969,0.651117,-0.000000,0.651117,1.248125,0.000000
21,2.100000,0.639205,3.148353,0.036580,-0.281330,1.515783,3.540697,0.762940,1.775772,0.629126,-0.000000,0.629126,1.235046,0.000000
22,2.200000,0.673042,3.359402,-0.707877,3.239217,1.242381,3.645437,0.538571,1.729038,0.608180,-0.000000,0.608179,1.209050,0.000000
23,2.300000,0.685230,3.552303,-1.698039,2.178974,0.855876,3.577243,0.267192,1.580458,0.588272,0.000000,0.588271,1.165859,0.000000
24,2.400000,0.671890,3.701930,0.029959,2.075877,0.761228,3.499083,0.195253,1.440450,0.569376,0.000000,0.569376,1.128091,0.000000
25,2.500000,0.640173,3.781144,-0.106386,4.797257,0.658448,3.802241,0.125435,1.531280,0.551456,-0.000000,0.551455,1.085776,0.000000
26,2.600000,0.645972,3.841053,3.207473,3.012126,1.009908,3.829336,0.311998,1.461903,0.534467,-0.000000,0.534466,1.059048,0.000000
27,2.700000,0.686825,3.845904,3.183782,6.049287,1.318777,4.244265,0.459560,1.604720,0.518360,0.000000,0.518360,1.047905,0.000000
28,2.800000,0.687809,3.817259,3.241941,3.880621,1.600834,4.338818,0.580828,1.570863,0.503088,0.000000,0.503088,1.048028,0.000000
29,2.900000,0.711604,3.704285,0.390677,3.668162,1.504001,4.394797,0.503844,1.520617,0.488600,0.000000,0.488600,1.048129,0.000000
30,3.000000,0.716987,3.541838,1.463857,3.458671,1.543639,4.417678,0.498671,1.458445,0.474849,-0.000000,0.474849,1.053168,0.000000
31,3.100000,0.745587,3.415841,2.707501,4.216914,1.722114,4.523508,0.558673,1.439777,0.461789,-0.000000,0.461789,1.066402,0.000000
32,3.200000,0.758418,3.252266,1.080788,3.876090,1.699656,4.578576,0.523217,1.399530,0.449376,-0.000000,0.449376,1.083371,0.000000
33,3.300000,0.737295,3.077202,-1.096345,2.486842,1.440392,4.474402,0.386249,1.292214,0.437570,-0.000000,0.437569,1.097511,0.000000
34,3.400000,0.717638,2.874990,0.901091,2.172810,1.417421,4.344541,0.359934,1.181529,0.426331,-0.000000,0.426331,1.112658,0.000000
35,3.500000,0.712555,2.680205,-0.625637,-0.209004,1.237389,3.977278,0.270172,0.979830,0.415623,-0.000000,0.415623,1.120618,0.000000
36,3.600000,0.730397,2.484061,0.676843,2.563926,1.204854,3.922082,0.246087,0.917880,0.405414,0.000000,0.405414,1.131257,0.000000
37,3.700000,0.717576,2.264027,1.831791,-0.827466,1.289044,3.534975,0.269557,0.729238,0.395672,0.000000,0.395671,1.138159,0.000000
38,3.800000,0.668587,2.007745,0.115833,2.688204,1.200073,3.519064,0.225051,0.695133,0.386367,-0.000000,0.386367,1.150054,0.000000
39,3.900000,0.592441,1.743173,1.976823,2.599098,1.293754,3.495202,0.251701,0.660172,0.377472,-0.000000,0.377472,1.168482,0.000000
40,4.000000,0.556311,1.436338,-0.091731,2.004138,1.188804,3.417593,0.204160,0.607696,0.368964,0.000000,0.368964,1.190708,0.000000
41,4.100000,0.557576,1.142001,2.832453,2.143298,1.355643,3.357934,0.256394,0.564735,0.360818,0.000000,0.360818,1.218436,0.000000
42,4.200000,0.560992,0.858997,-0.070294,3.412710,1.253176,3.414258,0.211749,0.564683,0.353013,0.000000,0.353013,1.251666,0.000000
43,4.300000,0.570420,0.573050,4.591969,-0.421173,1.560934,3.134536,0.309368,0.450165,0.345528,0.000000,0.345528,1.285636,0.000000
44,4.400000,0.566653,0.297356,-0.597219,1.549307,1.406703,3.041655,0.247687,0.404230,0.338346,0.000000,0.338346,1.320844,0.000000
45,4.500000,0.589228,0.026210,3.815584,0.657709,1.629025,2.881189,0.312072,0.338758,0.331449,0.000000,0.331449,1.358183,0.000000
46,4.600000,0.652797,-0.229829,-1.043182,-0.494162,1.440701,2.638216,0.242038,0.250438,0.324821,0.000000,0.324822,1.392568,0.000000
47,4.700000,0.735866,-0.485888,-2.753149,-1.941512,1.129097,2.296666,0.137130,0.135912,0.318448,0.000000,0.318448,1.422102,0.000000
48,4.800000,0.791493,-0.761688,-1.841617,0.916776,0.909791,2.201456,0.065812,0.102613,0.312314,0.000000,0.312314,1.453601,0.000000
49,4.900000,0.839235,-1.062084,2.035155,-2.753796,1.002073,1.831349,0.091520,-0.011484,0.306408,0.000000,0.306408,1.482489,0.000000
50,5.000000,0.876184,-1.330356,0.817938,-0.797968,0.996694,1.632617,0.087246,-0.069594,0.300717,-0.000000,0.300717,1.511566,0.000000
51,5.100000,0.926258,-1.623533,1.688052,-2.022453,1.055802,1.356399,0.101780,-0.147267,0.295230,-0.000000,0.295230,1.539858,0.000000
52,5.200000,0.942714,-1.895815,0.784406,-3.202522,1.045570,1.012291,0.096004,-0.240497,0.289936,-0.000000,0.289936,1.565708,0.000000
